Fluxo de Trabalho;Responsável;Sprint;Tipo de História;Sub-Classificação;Pontuação;Duração estimada;Duração total do impedimento;Motivo do impedimento;Squad;Aberto em;Finalizado em
Ativado - Disponível para uso;Desenvolvedor 1;;Produto Digital com Software;Nova funcionalidade;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;02/01/2025 10:01:16;27/01/2025 16:32:05
Ativado - Disponível para uso;Desenvolvedor 2;SPRINT 1 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;02/01/2025 15:25:28;17/01/2025 10:08:59
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 1 RELEASE 1;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;06/01/2025 10:23:03;15/01/2025 16:15:52
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;06/01/2025 11:10:30;12/02/2025 10:07:40
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);11;Infraestrutura/Ambiente;Squad 3;06/01/2025 11:34:21;22/01/2025 11:15:56
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 0 RELEASE 1;Produto Digital com Software;Evolução Técnica;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;07/01/2025 17:20:39;10/01/2025 10:19:33
Ativado - Disponível para uso;Desenvolvedor 8;_I1_R1_25;Produto Digital com Software;Nova funcionalidade;;Até 3 semanas - 15 dias úteis (M);0;;Squad 3;07/01/2025 18:26:12;21/01/2025 11:21:22
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;07/01/2025 18:33:36;05/02/2025 11:50:07
Ativado - Disponível para uso;Desenvolvedor 9; - Sprint 4_R4_2024;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;08/01/2025 12:13:38;15/01/2025 10:30:34
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;08/01/2025 14:21:04;04/02/2025 11:02:14
Ativado - Disponível para uso;Desenvolvedor 10;;Produto Digital com Software;Nova funcionalidade;;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;08/01/2025 16:50:13;27/01/2025 16:21:54
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;09/01/2025 09:23:48;14/02/2025 22:59:16
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);14;Dependências externas;Squad 2;09/01/2025 09:26:57;27/02/2025 14:23:29
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 0 RELEASE 1;Produto Digital com Software;Evolução Técnica;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;09/01/2025 10:28:02;13/01/2025 09:30:12
Ativado - Disponível para uso;Desenvolvedor 13;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;09/01/2025 11:42:35;14/01/2025 11:07:11
Ativado - Disponível para uso;Desenvolvedor 14;2025-R1-SP06;Dados e Analytics;SOR   System of Records;;Até 2 semanas - 10 dias úteis (P);6936322;Dependências externas;Squad 1;10/01/2025 11:18:00;31/03/2025 18:08:07
Ativado - Disponível para uso;Desenvolvedor 15;2025-R1-SP01;Dados e Analytics;Dataviz;;Até 2 semanas - 10 dias úteis (P);0;;Squad 1;10/01/2025 11:26:34;23/01/2025 14:45:09
Ativado - Disponível para uso;Desenvolvedor 15;2025-R1-SP01;Dados e Analytics;Dataviz;;Até 2 semanas - 10 dias úteis (P);0;;Squad 1;10/01/2025 11:29:49;24/01/2025 10:01:37
Ativado - Disponível para uso;Desenvolvedor 14;2025-R1-SP03;Dados e Analytics;SOT   Source of Truth;;Até 2 semanas - 10 dias úteis (P);0;;Squad 1;10/01/2025 11:44:13;21/02/2025 16:08:52
Ativado - Disponível para uso;Desenvolvedor 16;SPRINT 0 RELEASE 1;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;10/01/2025 14:27:00;13/01/2025 08:58:27
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 1;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;Dependências externas;Squad 2;10/01/2025 15:44:08;22/01/2025 22:21:27
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 1 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;Dependências externas;Squad 2;10/01/2025 15:48:51;24/01/2025 11:15:40
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 1 RELEASE 1;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;10/01/2025 17:12:46;21/01/2025 09:55:45
Ativado - Disponível para uso;Desenvolvedor 17;_I1_R1_25;Produto Digital com Software;Evolução Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;13/01/2025 10:25:56;21/01/2025 11:37:08
Ativado - Disponível para uso;Desenvolvedor 9; - Sprint 4_R4_2024;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;13/01/2025 11:06:52;15/01/2025 10:31:01
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;13/01/2025 11:25:17;22/01/2025 14:14:31
Ativado - Disponível para uso;Desenvolvedor 18;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;13/01/2025 11:29:06;17/01/2025 11:37:47
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;13/01/2025 12:17:14;04/02/2025 11:03:38
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 1 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;13/01/2025 12:21:51;21/01/2025 10:11:32
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 3 RELEASE 1;Produto Digital com Software;Nova funcionalidade;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;13/01/2025 12:34:39;21/02/2025 17:16:51
Ativado - Disponível para uso;Desenvolvedor 13;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;14/01/2025 13:05:09;24/01/2025 11:30:00
Ativado - Disponível para uso;Desenvolvedor 16;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;8;Até 2 semanas - 10 dias úteis (P);3;Infraestrutura/Ambiente;Squad 2;14/01/2025 18:54:48;17/02/2025 22:44:10
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 1;Produto Digital com Software;Evolução Técnica;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;14/01/2025 19:22:44;30/01/2025 22:22:49
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;14/01/2025 20:10:09;15/01/2025 10:02:57
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;15/01/2025 10:04:35;26/01/2025 17:56:52
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 1 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;15/01/2025 17:09:35;21/01/2025 10:11:29
Ativado - Disponível para uso;Desenvolvedor 22;;Produto Digital com Software;Nova funcionalidade;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;16/01/2025 12:12:15;28/01/2025 10:05:19
Ativado - Disponível para uso;Desenvolvedor 10;;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;16/01/2025 15:08:26;17/01/2025 10:53:43
Ativado - Disponível para uso;Desenvolvedor 8;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;17/01/2025 11:27:22;06/02/2025 11:35:21
Ativado - Disponível para uso;Desenvolvedor 23;_I1_R1_25;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;17/01/2025 13:51:52;10/02/2025 11:41:00
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 1 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;21/01/2025 10:01:05;27/01/2025 09:53:14
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 1 RELEASE 1;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;21/01/2025 16:58:27;27/01/2025 09:53:05
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;22/01/2025 14:06:20;27/01/2025 16:28:08
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;22/01/2025 14:21:34;27/01/2025 16:27:48
Ativado - Disponível para uso;Desenvolvedor 22;;Produto Digital com Software;Nova funcionalidade;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;23/01/2025 10:32:06;27/01/2025 16:24:05
Ativado - Disponível para uso;Desenvolvedor 24; - Sprint 1_R1_2025;Parametrização de Software;Parametrizações;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 4;23/01/2025 14:34:34;27/01/2025 14:47:27
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;23/01/2025 15:20:24;24/01/2025 11:18:09
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 1;Produto Digital com Software;Evolução Técnica;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;23/01/2025 17:19:13;11/02/2025 10:11:52
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;2;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;23/01/2025 17:25:25;12/02/2025 10:39:09
Ativado - Disponível para uso;Desenvolvedor 7;;Produto Digital com Software;Evolução Técnica;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;23/01/2025 23:30:13;23/04/2025 16:33:37
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;23/01/2025 23:32:00;07/03/2025 10:27:24
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;24/01/2025 11:22:17;27/01/2025 16:22:37
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;24/01/2025 12:07:34;27/02/2025 09:04:11
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;24/01/2025 14:19:44;12/02/2025 10:18:11
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;24/01/2025 14:32:18;27/01/2025 16:27:32
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;24/01/2025 15:08:00;28/01/2025 11:38:29
Ativado - Disponível para uso;Desenvolvedor 2;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;27/01/2025 10:15:54;17/02/2025 09:37:11
Ativado - Disponível para uso;Desenvolvedor 26;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;27/01/2025 10:48:28;12/02/2025 09:49:10
Ativado - Disponível para uso;Desenvolvedor 26;SPRINT 2 RELEASE 1;Produto Digital com Software;Nova funcionalidade;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;27/01/2025 11:02:46;12/02/2025 11:03:19
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 1;Produto Digital com Software;Novo produto;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;27/01/2025 11:06:43;30/01/2025 08:16:58
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 2 RELEASE 1;Produto Digital com Software;Novo produto;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;27/01/2025 11:13:09;14/02/2025 07:56:53
Ativado - Disponível para uso;Desenvolvedor 27;SPRINT 2 RELEASE 1;Produto Digital com Software;Adequação  a um novo requisito não-funcional;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;27/01/2025 11:15:18;17/02/2025 09:27:46
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;27/01/2025 11:58:03;14/02/2025 07:56:59
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 2 RELEASE 1;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;27/01/2025 12:18:40;10/02/2025 11:16:11
Benefício capturado;Desenvolvedor 8;_R2_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);1470096;Infraestrutura/Ambiente;Squad 3;27/01/2025 12:25:27;23/04/2025 11:52:26
Ativado - Disponível para uso;Desenvolvedor 21;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;27/01/2025 15:40:38;27/01/2025 16:23:53
Ativado - Disponível para uso;Desenvolvedor 21;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;27/01/2025 16:39:51;28/01/2025 09:35:10
Ativado - Disponível para uso;Desenvolvedor 24; - Sprint 4_R1_2025;Produto Digital com Software;Alteração de funcionalidade ;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 4;27/01/2025 16:55:01;19/03/2025 15:29:10
Ativado - Disponível para uso;Desenvolvedor 28; - Sprint 1_R2_2025;Produto Digital com Software;Alteração de funcionalidade ;5;Até 1 semana - 5 dias úteis (PP);4729;;Squad 4;27/01/2025 16:56:26;15/04/2025 11:52:48
Ativado - Disponível para uso;Desenvolvedor 28; - Sprint 2_R1_2025;Produto Digital com Software;Alteração de funcionalidade ;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 4;27/01/2025 16:59:05;11/02/2025 11:38:30
Ativado - Disponível para uso;Desenvolvedor 6; - Sprint 4_R1_2025;Atividades Pura-Infra;Pura-Infra;5;Até 3 semanas - 15 dias úteis (M);0;;Squad 4;27/01/2025 17:11:26;24/03/2025 11:39:02
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;28/01/2025 11:12:07;12/02/2025 10:10:21
Benefício capturado;Desenvolvedor 22;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;28/01/2025 11:17:28;13/02/2025 12:24:00
Ativado - Disponível para uso;Desenvolvedor 29;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;28/01/2025 11:18:36;12/02/2025 10:09:53
Ativado - Disponível para uso;Desenvolvedor 21;;Atividades Pura-Infra;Pura-Infra;1;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;28/01/2025 12:11:57;28/01/2025 18:08:51
Ativado - Disponível para uso;Desenvolvedor 21;;Atividades Pura-Infra;Pura-Infra;3;Até 2 semanas - 10 dias úteis (P);0;Dependências externas;Squad 6;28/01/2025 12:29:56;11/02/2025 09:54:29
Ativado - Disponível para uso;Desenvolvedor 23;_I1_R1_25;Atividades Pura-Infra;Pura-Infra;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;30/01/2025 10:42:48;03/02/2025 11:38:36
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);348473;;Squad 3;30/01/2025 19:30:37;07/04/2025 11:33:14
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;31/01/2025 10:31:46;11/02/2025 10:19:02
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;31/01/2025 16:26:41;03/02/2025 18:36:33
Ativado - Disponível para uso;Desenvolvedor 1;;Produto Digital com Software;Nova funcionalidade;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;03/02/2025 10:38:56;04/02/2025 12:07:48
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;03/02/2025 16:22:35;17/02/2025 11:38:41
Ativado - Disponível para uso;Desenvolvedor 30;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;03/02/2025 17:22:15;17/02/2025 15:00:15
Ativado - Disponível para uso;Desenvolvedor 31;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 2 semanas - 10 dias úteis (P);0;;Squad 7;03/02/2025 18:47:08;26/02/2025 11:08:08
Ativado - Disponível para uso;Desenvolvedor 31;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 2 semanas - 10 dias úteis (P);0;;Squad 7;03/02/2025 19:31:30;06/02/2025 11:07:19
Ativado - Disponível para uso;Desenvolvedor 10;A - Sprint 1_R4_2024;Atividades Pura-Infra;Pura-Infra;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;03/02/2025 21:34:32;04/02/2025 12:07:35
Ativado - Disponível para uso;Desenvolvedor 32;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;04/02/2025 11:37:03;06/02/2025 11:06:14
Ativado - Disponível para uso;Desenvolvedor 10;;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;04/02/2025 12:08:52;11/02/2025 09:32:04
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 2 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;04/02/2025 17:14:29;10/02/2025 08:05:41
Ativado - Disponível para uso;Desenvolvedor 11;SPRINT 3 RELEASE 1;Produto Digital com Software;Nova funcionalidade;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;05/02/2025 14:31:02;06/03/2025 20:56:17
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 3 RELEASE 1;Produto Digital com Software;Novo produto;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;05/02/2025 18:05:05;18/02/2025 09:05:40
Ativado - Disponível para uso;Desenvolvedor 1;;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;06/02/2025 09:46:54;14/02/2025 18:38:13
Ativado - Disponível para uso;Desenvolvedor 22;;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;06/02/2025 12:24:25;13/02/2025 13:50:28
Ativado - Disponível para uso;Desenvolvedor 29;;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;Falta de informações/Erros de definição;Squad 6;06/02/2025 16:33:55;17/03/2025 10:04:43
Ativado - Disponível para uso;Desenvolvedor 26;SPRINT 2 RELEASE 1;Produto Digital com Software;Evolução Técnica;;Até 1 semana - 5 dias úteis (PP);0;;Squad 8;06/02/2025 16:59:38;17/02/2025 09:25:23
Ativado - Disponível para uso;Desenvolvedor 22;;Produto Digital com Software;Nova funcionalidade;;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;06/02/2025 20:23:16;13/02/2025 15:05:57
Ativado - Disponível para uso;Desenvolvedor 17;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 7;07/02/2025 14:27:18;17/03/2025 11:11:01
Ativado - Disponível para uso;Desenvolvedor 31;_I1_R1_25;Parametrização de Software;Parametrizações;;Até 2 semanas - 10 dias úteis (P);0;;Squad 7;10/02/2025 11:03:58;17/02/2025 11:05:12
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 3 RELEASE 1;Atividades Pura-Infra;Pura-Infra;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;10/02/2025 12:13:32;21/02/2025 14:17:08
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;10/02/2025 12:24:55;18/02/2025 09:24:15
Ativado - Disponível para uso;Desenvolvedor 20;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;2;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;10/02/2025 12:32:48;27/02/2025 11:06:16
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;10/02/2025 15:01:35;11/02/2025 20:20:46
Ativado - Disponível para uso;Desenvolvedor 19;SPRINT 3 RELEASE 1;Produto Digital com Software;Nova funcionalidade;8;Até 2 semanas - 10 dias úteis (P);0;;Squad 5;10/02/2025 15:41:52;05/03/2025 14:15:54
Ativado - Disponível para uso;Desenvolvedor 22;;Produto Digital com Software;Alteração de funcionalidade ;3;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;10/02/2025 18:31:28;21/02/2025 18:37:08
Ativado - Disponível para uso;Desenvolvedor 13;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;11/02/2025 11:06:03;17/02/2025 11:38:12
Ativado - Disponível para uso;Desenvolvedor 1;;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;12/02/2025 12:27:16;27/02/2025 10:19:02
Ativado - Disponível para uso;Desenvolvedor 21;;Atividades Pura-Infra;Pura-Infra;1;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;12/02/2025 15:08:28;14/02/2025 09:34:27
Ativado - Disponível para uso;Desenvolvedor 1;;Produto Digital com Software;Nova funcionalidade;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;12/02/2025 17:00:36;28/02/2025 10:06:31
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 4 RELEASE 1;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);2;Infraestrutura/Ambiente;Squad 2;13/02/2025 12:33:29;25/03/2025 09:55:02
Ativado - Disponível para uso;Desenvolvedor 33;SPRINT 4 RELEASE 1;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;13/02/2025 15:38:31;11/03/2025 12:04:21
Ativado - Disponível para uso;Desenvolvedor 16;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;13/02/2025 17:00:41;05/03/2025 23:03:04
Ativado - Disponível para uso;Desenvolvedor 25;SPRINT 3 RELEASE 1;Atividades Pura-Infra;Pura-Infra;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;13/02/2025 17:37:22;27/02/2025 17:04:26
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;13/02/2025 19:39:27;27/02/2025 10:02:03
Ativado - Disponível para uso;Desenvolvedor 29;;Produto Digital com Software;Alteração de funcionalidade ;;Até 2 semanas - 10 dias úteis (P);0;;Squad 6;13/02/2025 20:55:41;27/02/2025 16:20:46
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 2 RELEASE 1;Parametrização de Software;Parametrizações;;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;14/02/2025 09:52:40;17/02/2025 09:59:32
Ativado - Disponível para uso;Desenvolvedor 12;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;14/02/2025 10:53:29;27/02/2025 11:10:59
Ativado - Disponível para uso;Desenvolvedor 4;SPRINT 4 RELEASE 1;Produto Digital com Software;Evolução Técnica;8;Até 1 semana - 5 dias úteis (PP);0;;Squad 2;14/02/2025 17:00:22;11/03/2025 12:03:43
Ativado - Disponível para uso;Desenvolvedor 16;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;3;Até 1 semana - 5 dias úteis (PP);2;Falta de informações/Erros de definição;Squad 2;14/02/2025 17:42:56;24/02/2025 22:54:39
Ativado - Disponível para uso;Desenvolvedor 7;SPRINT 3 RELEASE 1;Produto Digital com Software;Evolução Técnica;5;Até 2 semanas - 10 dias úteis (P);0;;Squad 2;14/02/2025 17:44:43;07/03/2025 11:08:22
Ativado - Disponível para uso;Desenvolvedor 5;_I1_R1_25;Produto Digital com Software;Alteração de funcionalidade ;;Até 1 semana - 5 dias úteis (PP);0;;Squad 3;14/02/2025 18:07:00;18/02/2025 11:37:01
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;17/02/2025 11:03:53;10/03/2025 15:03:31
Ativado - Disponível para uso;Desenvolvedor 3;SPRINT 3 RELEASE 1;Produto Digital com Software;Alteração de funcionalidade ;3;Até 1 semana - 5 dias úteis (PP);0;;Squad 5;17/02/2025 11:12:59;25/02/2025 14:31:20
Ativado - Disponível para uso;Desenvolvedor 21;;Produto Digital com Software;Nova funcionalidade;5;Até 1 semana - 5 dias úteis (PP);0;;Squad 6;17/02/2025 20:03:14;27/02/2025 10:02:40
Ativado - Disponível para uso;Desenvolvedor 10;;Produto Digital com Software;Nova funcionalidade;;Até 2 semanas - 10 dias úteis (P);0;Dependências externas;Squad 6;17/02/2025 21:05:02;17/03/2025 10:02:14
